district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Nashik,P51600007091,SHREE GANESH APARTMENT,SUBHADRA PROPERTIES PRIVATE LIMITED,422003,"('19.416676100000000','72.798370500000000')",On-Going Project,06/30/2018,06/30/2018,,Residential,270.0,0.0,372.57,12/10/2019,,,11.0,6.0,0.0,1.0,0.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0
Nashik,P51600008082,ROYAL FLOATING VILLA,RAJPUT BUILDCON,422005,"('18.529602900000000','73.876015400000000')",On-Going Project,03/31/2021,12/31/2020,,Residential,800.0,0.0,1222.0,01/11/2020,,,4.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0
Nashik,P51600009996,FORTUNES KUSUMGULAB,FORTUNE BUILDCON,422003,"('19.164810900000000','72.853271500000000')",On-Going Project,03/31/2021,12/31/2020,,Residential,615.13,0.0,858.17,03/08/2022,,,16.0,6.0,0.0,1.0,0.0,5.0,0.0,0.0,16.0,0.0,0.0,0.0
Nashik,P51600006394,VAKRATUNDA APPARTMENT,ICCHAMANI DEVELOPERS,422006,"('18.975094100000000','73.052334000000000')",On-Going Project,12/31/2017,07/31/2018,,Residential,893.63,0.0,1118.55,11/22/2019,,,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Nashik,P51600007108,Gokul 1,Gokul Infrastructure,422012,"('21.016602500000000','79.029839100000000')",On-Going Project,12/31/2018,12/31/2018,,Residential,1115.0,0.0,1561.0,02/25/2020,,,38.0,24.0,0.0,0.0,0.0,5.0,1.0,5.0,20.0,0.0,0.0,0.0
Nashik,P51600007719,SHREE TIRUMALA RIVIERA PHASE II,SHREE SHYAM BUILDERS,422013,"('18.516356900000000','73.649837900000000')",On-Going Project,03/31/2019,03/31/2019,,Residential,1672.0,0.0,256.01,05/31/2021,,,3.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
Nashik,P51600009737,SHILP KALA,SHILP KALA CO-OPERATIVE HOUSING SOCIETY LIMITED,422101,"('21.080199700000000','79.120277200000000')",On-Going Project,01/30/2018,12/31/2018,,Residential,473.25,0.0,823.37,09/26/2019,,,16.0,16.0,0.0,1.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0
Nashik,P51600012430,JAIRATNA CO-OP SOCIETY,SHREE ASTAVINAYAK DEVELOPERS,422013,"('15.905262700000000','73.821321300000000')",On-Going Project,03/31/2019,03/31/2019,,Residential,419.36,419.36,691.52,08/20/2020,,,14.0,12.0,0.0,1.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0
Nashik,P51600010187,SAILAXMI PARK,J P CONSTRUCTION,422007,"('18.516356900000000','73.649837900000000')",On-Going Project,03/31/2023,06/30/2023,,Residential,4736.0,475.0,5446.26,10/29/2021,,,160.0,20.0,0.0,4.0,0.0,20.0,12.0,0.0,81.0,0.0,0.0,0.0
Nashik,P51600003687,ADIGURU,MAHAJAN BUILDCON,422011,"('20.732814000000000','78.594717000000000')",On-Going Project,10/30/2018,10/30/2018,,Residential,610.0,0.0,766.22,04/14/2023,,,16.0,9.0,0.0,1.0,0.0,5.0,1.0,0.0,16.0,0.0,0.0,0.0
