district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Mumbai City,P51900033818,SHWESH CHAMPARAN,SHWESH DEVELOPERS PRIVATE LIMITED,400019,"('19.022973239729232','72.854023799711630')",New Project,12/31/2024,,,Residential,362.04,0.0,1482.07,10/26/2023,,,8.0,0.0,1.0,1.0,0.0,11.0,1.0,0.0,17.0,0.0,0.0,0.0
Mumbai City,P51900033696,Aarush,Konark Enterprises,400033,,New Project,12/31/2024,,,Others,273.41,0.0,1111.24,09/26/2023,,,11.0,4.0,0.0,1.0,0.0,20.0,1.0,0.0,12.0,0.0,0.0,0.0
Mumbai City,P51900033948,Shanti Tower,Shanti Prakash Realty & Infrastructure LLP,400025,"('19.013179354710765','72.831642604349530')",New Project,04/29/2030,,,Residential,1020.58,102.95,4979.8,12/21/2023,3.0,,63.0,7.0,1.0,1.0,0.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0
Mumbai City,P51900033361,Simana - Wing B - Phase 1,Bhoomi Properties,400033,,New Project,12/31/2026,,,Residential,16494.93,5450.87,31560.85,01/19/2024,,,292.0,9.0,1.0,1.0,4.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900033360,Simana - Wing A - Phase 1,Bhoomi Properties,400033,,New Project,12/31/2025,,,Residential,16494.93,5450.87,25670.06,01/19/2024,,,237.0,53.0,1.0,1.0,4.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900033311,GURUKRUPA SATYAM,GURUKRUPA REALCON LIFESPACES LLP,400083,,New Project,03/31/2024,,,Residential,885.42,0.0,6384.66,04/24/2023,,,167.0,148.0,0.0,1.0,0.0,22.0,1.0,0.0,37.0,0.0,0.0,0.0
Mumbai City,P51900034314,DIVINE HEIGHTS,DIVINE ASSOCIATES,400050,"('18.975616200469750','72.932164248198130')",New Project,03/31/2024,,,Residential,752.5,0.0,2220.11,01/08/2024,,,48.0,8.0,1.0,1.0,0.0,10.0,0.0,3.0,16.0,0.0,0.0,0.0
Mumbai City,P51900045212,K L Victoria,Jeevan Sona Realty AOP,400054,,New Project,02/14/2025,,,Others,1332.0,183.3,4419.57,01/17/2024,,,6.0,2.0,3.0,1.0,0.0,6.0,0.0,0.0,76.0,0.0,0.0,0.0
Mumbai City,P51900034170,Lodha NCP Tower - 1,MACROTECH DEVELOPERS LIMITED,400022,,New Project,12/31/2026,,,Residential,2225.66,779.21,23675.59,12/08/2023,3.0,,228.0,14.0,4.0,1.0,0.0,40.0,0.0,0.0,471.0,0.0,0.0,0.0
Mumbai City,P51900034002,PAREKH HOUSE,INNOVATIVE REALEST PRIVATE LIMITED,400022,"('19.039550000000000','72.860650000000000')",New Project,12/22/2025,,,Residential,520.07,105.24,2083.15,01/15/2024,,,12.0,0.0,2.0,1.0,6.0,16.0,2.0,0.0,39.0,0.0,0.0,0.0
