district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi
Thane,P51700032591,RAGHUKUL HEIGHTS,SIDDHIVINAYAK BUILDERS AND DEVELOPERS,421202,,New Project,12/25/2023,,Residential,773.0,0.0,2946.84
Thane,P51700031148,OCEAN DEVELOPERS,PRASHANT VALKI MALI,421201,,New Project,12/31/2023,,Residential,1200.0,430.0,5819.7
Thane,P51700031266,SPARSHIKA BUILDERS AND DEVELOPERS,AJINKYA SADANAND NARKAR,421202,,New Project,12/31/2023,,Residential,800.0,0.0,7364.31
Thane,P51700031269,TULJABHAVANI BUILDERS AND DEVELOPERS,TULJABHAVANI BUILDERS AND DEVELOPERS,421202,,New Project,12/31/2023,,Residential,1000.0,0.0,5639.86
Thane,P51700031643,SUSHEELA TOWER,DHANASHREE BUILDERS AND DEVELOPERS,421201,,New Project,12/25/2022,,Residential,400.0,0.0,2174.39
Thane,P51700031382,R M G INFRA,R M G INFRA,421202,,New Project,12/31/2025,,Residential,500.0,705.0,4397.0
Thane,P51700031425,OM SAI DEVELOPERS,OM SAI DEVELOPERS,421202,,New Project,12/31/2023,,Residential,350.0,200.0,2706.0
Thane,P51700031591,SHRI SHIV GORAKSHNATH ENTERPRISES,SHRI SHIV GORAKSHNATH ENTERPRISES,421201,,New Project,12/31/2023,,Residential,572.0,300.0,1775.21
Thane,P51700031508,D V INFRA,D V INFRA,421202,,New Project,12/31/2022,,Residential,1500.0,0.0,3818.0
Thane,P51700031678,GAUTAM ENTERPRISES,GAUTAM SHANKARLALJI MALI,421201,,New Project,12/31/2024,,Residential,550.0,0.0,2610.59
Thane,P51700031734,SUNSHINE DEVELOPERS,SUNSHINE DEVELOPERS,421201,,New Project,12/31/2023,,Residential,480.0,500.0,995.41
Thane,P51700031580,SAIKRUPA DEVELOPER,SAIKRUPA DEVELOPER,421202,,New Project,12/31/2023,,Residential,818.7,0.0,1183.08
Thane,P51700031939,VAGHESHWARI DEVELOPERS,AASHU LAXMAN MUNGESH,421202,,New Project,12/31/2022,,Residential,400.0,0.0,1907.0
Thane,P51700032567,SHIV SAI RESIDENCY,SHREE GURUKRUPA CONSTRUCTION,421203,,New Project,10/31/2022,,Residential,1290.13,0.0,1250.08
Thane,P51700031735,GREEN CONSTRUCTION,GREEN CONSTRUCTION,421201,,New Project,12/31/2024,,Residential,500.0,2400.0,1994.73
Thane,P51700031878,VASTU DEVELOPERS,VASTU DEVELOPERS,421201,,New Project,12/31/2026,,Residential,1500.0,0.0,6016.99
Thane,P51700032048,SAMARTH DEVELOPERS,SAMATH DEVELOPERS,421201,,New Project,12/31/2022,,Residential,600.0,0.0,2190.5
Thane,P51700032100,SHREE SWAMI SAMARTH ENTERPRISES,SHREE SWAMI SAMARTH ENTERPRISES,421201,,New Project,12/31/2025,,Residential,1011.0,619.0,1819.67
Thane,P51700031957,DELUXE HOME BUILDING NO.2,DELUXE HOME BUILDERS & DEVELOPERS,421201,,New Project,10/12/2025,,Residential,500.0,0.0,2799.1
Thane,P51700032570,RUDRA HEIGHTS,RUDRA INFRA BUILDERS & DEVELOPERS,421201,,New Project,12/31/2022,,Residential,450.0,0.0,805.63
Thane,P51700032396,SHIV DATTA KRUPA,ADITYA INFRA,421201,,New Project,06/30/2023,,Residential,400.0,0.0,2971.04
Thane,P51700032343,SAI JYOT ENTERPRISES,SAI JYOT ENTERPRISES,421202,,New Project,12/31/2025,,Residential,396.74,330.26,1995.8
Thane,P51700033103,BAMA PATIL SHOPPING CENTRE,NIVESH ENTERPRISES,421204,,New Project,10/31/2022,,Commercial,280.0,0.0,592.29
Thane,P51700032270,SHREE DEVELOPERS,SHREE DEVELOPERS,421201,,New Project,12/31/2025,,Residential,620.0,160.0,2529.03
Thane,P51700033040,VIVAAN HEIGHTS,M/S SHREE ENTERPRISES,421202,,New Project,12/31/2024,,Others,1315.22,0.0,1250.0
Thane,P51700033229,SHIV ARADHANA COMPLEX,ADITYA BUILDCON,421201,,New Project,12/31/2025,,Others,910.58,0.0,4476.99
Thane,P51700033058,NARAYAN ARCADE,SHREE SAMARTH KRUPA DEVELOPERS,421202,,New Project,03/31/2023,,Residential,368.48,0.0,2650.11
Thane,P51700033483,LAKSHMAN HEIGHTS,M/S SHREE GANESH DEVELOPERS,421201,,New Project,12/25/2025,,Others,725.0,0.0,0.0
Thane,P51700033406,SHREE MAHALAXMI HEIGHTS,SHREE MAHALAXMI DEVELOPERS,421201,,New Project,03/31/2025,,Residential,590.0,0.0,3130.48
Mumbai Suburban,P51800034112,Sunteck City Avenue 1- Phase 2,Skystar Buildcon Pvt. Ltd.,400104,,New Project,12/31/2023,,Residential,8183.0,0.0,8216.85
