district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Mumbai Suburban,P51800051671,SHRIM,Shrim Co-Operative Housing Society,400024,,New Project,06/30/2027,,,Residential,609.75,0.0,0.0,06/08/2023,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800050020,Swastik Coral,Swastik Homes,400083,"('19.114401235062320','72.933438862012470')",New Project,12/31/2027,,,Residential,843.23,0.0,0.0,12/13/2023,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800049525,ARHAM ARYA,Mahavir Enterprises,400071,,New Project,12/31/2025,,,Residential,897.3,0.0,2664.13,09/13/2023,,,18.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,44.0,0.0,0.0,0.0
Mumbai Suburban,P51800049306,SHRI SIDDHIVINAYAK BY DEM,DEM Realty LLP,400067,"('19.218660000000000','72.834240000000000')",New Project,02/28/2026,,,Residential,780.0,0.0,4556.11,12/16/2023,,,65.0,37.0,0.0,1.0,0.0,22.0,0.0,2.0,68.0,0.0,0.0,0.0
Mumbai Suburban,P51800050677,"Elysian Tower C, D, E",Oberoi Realty Limited,400063,,New Project,10/31/2031,,,Residential,5424.99,0.0,88567.62,12/13/2023,,,370.0,0.0,4.0,3.0,10.0,78.0,5.0,0.0,748.0,0.0,0.0,0.0
Mumbai Suburban,P51800049426,ARC Aura,PRATHAM VIGHNAHARTA INFRACON LLP,400058,,New Project,06/30/2025,,,Residential,875.09,0.0,4638.07,11/03/2023,,,104.0,20.0,0.0,1.0,0.0,16.0,1.0,0.0,26.0,0.0,0.0,0.0
Mumbai Suburban,P51800050026,Siddhanta 180,Praneeta Infrastructure LLP,400057,,New Project,06/30/2025,,,Residential,446.5,446.5,817.42,05/29/2023,,,5.0,2.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800049923,Supreme Alora,Supreme Sky Ventures LLP,400052,,New Project,04/01/2026,,,Residential,602.0,0.0,1140.0,10/18/2023,,,11.0,0.0,1.0,1.0,0.0,13.0,1.0,2.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800050610,GALAXY ANNNEX,GALAXY REALTORS,400057,,New Project,12/31/2025,,,Residential,2809.2,0.0,1733.48,04/06/2023,,,65.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800049694,JAY KRISHNA,THE GREEN VENTUREZ,400091,,New Project,12/31/2025,,,Residential,716.6,0.0,2128.24,10/13/2023,,,25.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,37.0,0.0,0.0,0.0
Mumbai Suburban,P51800049667,Ajmera Eden,Shree Yogi Realcon Private Limited,400075,"('19.153823100000000','72.875178600000000')",New Project,01/30/2027,,,Residential,1700.65,0.0,0.0,12/15/2023,,,98.0,32.0,2.0,2.0,0.0,32.0,2.0,0.0,154.0,0.0,0.0,0.0
Mumbai Suburban,P51800050408,ESTELLA,SHREE KRISHNA PROPERTIES,400071,,New Project,06/30/2025,,,Residential,1064.5,0.0,1064.5,11/25/2023,,,20.0,14.0,0.0,1.0,3.0,14.0,1.0,0.0,46.0,0.0,0.0,0.0
Mumbai Suburban,P51800049624,SHREE SHRINATH DARSHAN,Disha Realtors,400056,"('19.103210000000000','72.839230000000000')",New Project,12/31/2026,,,Residential,372.18,0.0,1256.11,09/12/2023,,,9.0,4.0,0.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800050024,PREESHA PARADISE,VASTU REALTORS AND DEVELOPERS,400092,"('19.223117100000000','72.854174600000000')",New Project,12/31/2025,,,Residential,600.0,0.0,1791.43,10/20/2023,,,29.0,5.0,0.0,2.0,0.0,17.0,8.0,5.0,8.0,0.0,0.0,0.0
Mumbai Suburban,P51800049755,Rustomjee Ashiana,FERRUM REALTORS PRIVATE LIMITED,400049,,New Project,02/04/2027,,,Residential,989.7,0.0,3969.7,10/25/2023,,,30.0,3.0,2.0,1.0,0.0,10.0,1.0,0.0,66.0,0.0,0.0,0.0
Mumbai Suburban,P51800049987,Rekhaz,R Nutan Builders Private Limited,400080,,New Project,03/31/2027,,,Residential,1672.2,0.0,3704.45,12/04/2023,,,22.0,1.0,1.0,1.0,5.0,12.0,1.0,0.0,94.0,0.0,0.0,0.0
Mumbai Suburban,P51800049840,I STAY TOWER - F (1-BHK),STARWING REAL ESTATE COMPANY,400059,,New Project,10/31/2028,,,Residential,7916.83,0.0,208.87,10/27/2023,,,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
Mumbai Suburban,P51800050063,RAJSHREE ASHISH CO-OPERATIVE HOUSING SOCIETY LIMITED,VINOD PRALHAD CHOUDHARI,400042,,New Project,06/30/2026,,,Residential,438.8,0.0,647.56,11/20/2023,,,27.0,14.0,0.0,0.0,0.0,10.0,1.0,0.0,17.0,0.0,0.0,0.0
Mumbai Suburban,P51800050666,Yogi Sea,Yogi Limited,400052,,New Project,09/30/2025,,,Residential,565.2,0.0,1356.1,10/17/2023,,,8.0,0.0,1.0,1.0,0.0,12.0,0.0,0.0,27.0,0.0,0.0,0.0
Mumbai Suburban,P51800050555,SAMARTH AURA PHASE -2,SHREE ASHAPURA COMBINE,400078,,New Project,12/31/2027,,,Residential,3753.89,484.88,2694.57,10/23/2023,,,40.0,6.0,1.0,1.0,3.0,9.0,1.0,0.0,145.0,0.0,0.0,0.0
Mumbai Suburban,P51800050896,NAVA GEETA,SHREE KRISHNA LIVING LLP,400071,,New Project,09/30/2025,,,Residential,3054.11,0.0,3016.44,12/01/2023,1.0,,110.0,57.0,0.0,3.0,0.0,39.0,3.0,0.0,107.0,0.0,0.0,0.0
Mumbai Suburban,P51800051038,Vedvati,Skyline Homes Constructions LLP,400069,,New Project,12/31/2024,,,Residential,658.6,0.0,2220.67,11/23/2023,,,26.0,10.0,0.0,1.0,0.0,9.0,1.0,0.0,36.0,0.0,0.0,0.0
Mumbai Suburban,P51800051058,GIRIRAJ,GO DEVELOPER,400066,,New Project,12/31/2025,,,Residential,304.6,0.0,562.28,10/23/2023,,,15.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,7.0,0.0,0.0,0.0
Mumbai Suburban,P51800050097,Orient Regency Building No. 1,ORIENT COMBINE,400089,"('19.070704719374113','72.896470552010730')",New Project,12/14/2026,,,Residential,2313.0,0.0,4013.74,12/11/2023,,,63.0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,74.0,0.0,0.0,0.0
