district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking
Nagpur,P50500014610,DATTAKRUPA APPARTMENT,SATISH AJABRAO WANKHEDE,440015,"('16.713690500000000','74.232605800000000')",New Project,12/31/2019,,,Residential,510.84,0.0,663.3,12/09/2017,,,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Nagpur,P50500015511,NARENDRA HEIGHTS,CONCRETE DEVELOPERS,440015,"('18.566386400000000','73.831644100000000')",New Project,02/28/2022,,,Residential,2941.65,588.34,7572.2,08/09/2021,,,120.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,2.0,23.0,40.0
Nagpur,P50500015332,SHREYAS,Santhosh kumar Nand kumar Gandewar,440022,"('19.101803100000000','72.890352500000000')",New Project,06/01/2019,,11/30/2020,Residential,744.0,0.0,1325.06,08/05/2018,,,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0
Nagpur,P50500014852,INDU RESIDENCY,SURESH KHIMJIBHAI BORSANIYA,440013,"('21.185593443705210','79.051635882452050')",New Project,06/30/2022,,,Residential,1175.72,0.0,1822.0,04/21/2023,,,18.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0
Nagpur,P50500015166,OM AADITYA APARTMENT,SUDHIR BABURAO KALE,441111,"('21.212743000000000','79.058528000000000')",New Project,12/31/2019,,,Residential,950.0,0.0,1130.0,08/07/2020,,,18.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0
Nagpur,P50500014915,SHREE GAJANAN VIHAR,Shri Gajanan Builders & Developers,440027,"('21.095752000000000','79.107699000000000')",New Project,12/30/2022,,,Residential,1045.41,0.0,1355.52,01/04/2018,,,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0
Nagpur,P50500015383,JAMTHA GALAXY,ASHTAVINAYAK DEVELOPERS,441122,"('19.285519600000001','72.869296700000007')",New Project,03/30/2023,,03/29/2024,Residential,11063.0,0.0,0.0,11/22/2023,,,220.0,137.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,0.0,745.0,0.0
Nagpur,P50500015376,PALM CITY,ASHTAVINAYAK PLANNERS & DEVELOPERS PVT.LTD.,440022,"('21.380037200000000','79.321910099999997')",New Project,03/30/2023,,03/29/2024,Residential,27876.0,0.0,0.0,11/22/2023,,16.0,207.0,161.0,0.0,0.0,0.0,0.0,10.0,0.0,16.0,2.0,944.0,2.0
Nagpur,P50500015522,KARTIK PLAZA,SUBHASH YUVRAJ MANMODE,440030,"('19.201050200000001','72.978535300000004')",New Project,09/30/2019,,,Residential,390.14,0.0,493.0,05/08/2018,,,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0
Nagpur,P50500015447,PAVILLION,ANUKARAN CONSULTANCY PVT LTD,440018,"('21.148460199999999','79.095572300000001')",New Project,12/30/2025,,,Residential,4847.75,0.0,2000.0,10/25/2018,,1.0,120.0,114.0,0.0,0.0,0.0,6.0,0.0,0.0,27.0,0.0,30.0,0.0
