district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Thane,P51700009008,SANGEETA COMPLEX,SHIV STRUCTURES,421601,"('19.408226299999999','73.264616500000002')",On-Going Project,05/31/2018,12/31/2019,12/30/2023,Residential,1650.0,250.0,1671.4,01/21/2023,,,40.0,38.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0
Thane,P51700009545,DEDHIA ELITA C WING,JAYDEEP CORPORATION,400615,"('19.270526000000000','72.962648000000002')",On-Going Project,06/30/2018,06/30/2018,,Residential,2366.65,974.76,6091.93,09/30/2019,,,102.0,90.0,1.0,1.0,1.0,23.0,1.0,2.0,109.0,0.0,0.0,0.0
Thane,P51700009903,SHILPA CHS,YASH INFRA,400602,"('19.119724000000001','72.851709000000000')",On-Going Project,06/30/2019,12/29/2020,,Residential,518.4,0.0,883.95,02/06/2023,,,18.0,18.0,0.0,1.0,0.0,8.0,1.0,0.0,15.0,0.0,0.0,0.0
Thane,P51700005982,SONAL CO-OP HOUSING SOCIETY,SOHAM DEVELOPERS,421503,"('19.166785399999998','73.236789599999994')",On-Going Project,01/31/2019,01/31/2019,,Residential,487.45,14.97,657.09,10/13/2018,,,22.0,12.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Thane,P51700010214,SAI GANESH,SAI DEVELOPERS,400706,"('19.173798000000001','72.997570999999994')",On-Going Project,12/31/2014,12/31/2017,,Residential,1246.7,0.0,1859.41,09/17/2019,,,23.0,9.0,0.0,1.0,1.0,26.0,1.0,23.0,28.0,0.0,0.0,0.0
Thane,P51700010153,JOLLLY APARTMENT WING A AND B,RIEL INFRASTRUCTURE PVT LTD,421601,"('19.455583000000001','73.323061999999993')",On-Going Project,12/31/2018,12/31/2019,12/30/2021,Residential,4105.0,415.0,3029.22,04/06/2023,,12.0,40.0,20.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Thane,P51700008166,POONAM ESTATE CL 2 BLG NO 7 8 9,Ravi Developments,401107,"('19.275359999999999','72.871009999999998')",On-Going Project,12/31/2018,06/30/2019,,Residential,8427.84,24231.85,24972.19,01/31/2020,1.0,,454.0,269.0,3.0,3.0,6.0,63.0,3.0,0.0,227.0,0.0,0.0,0.0
Thane,P51700012054,SHREEJI GARDEN,SHUBH DEVELOPERS,421503,"('19.180358999999999','73.238085999999996')",On-Going Project,12/31/2020,12/30/2021,,Residential,9390.12,0.0,15241.88,01/20/2023,,,266.0,266.0,0.0,4.0,0.0,44.0,3.0,0.0,3.0,0.0,0.0,0.0
Thane,P51700005236,RAJ TATTVA WING A B AND E,KOTHARI AUTOPARTS MANUFACTURERS PRIVATE LIMITED,400601,"('19.220002000000001','72.976748999999998')",On-Going Project,12/31/2022,12/30/2023,,Residential,1780.0,1564.8,33092.74,10/05/2021,,,240.0,27.0,3.0,3.0,6.0,87.0,3.0,0.0,589.0,0.0,0.0,0.0
Thane,P51700010400,KOOL BREEZE PHASE II,ABHISHEK SHELTERS LTD,421503,"('19.162056000000000','73.224157000000005')",On-Going Project,09/30/2017,05/31/2018,,Residential,1780.75,0.0,1780.75,11/13/2019,,,0.0,20.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Thane,P51700007523,OMKAR ENCLAVE,OMKAR ENTERPRISES,421201,"('19.208638000000001','73.092123999999998')",On-Going Project,04/30/2019,12/30/2023,,Residential,1017.2,0.0,2097.32,11/12/2021,,,83.0,75.0,0.0,1.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0
Thane,P51700010396,MARATHE ELENZA,SAIJI DEVELOPERS,421605,"('19.312873799999998','73.217557099999993')",On-Going Project,03/31/2025,03/30/2026,,Residential,3140.03,0.0,1715.2,07/31/2017,,,50.0,0.0,0.0,1.0,1.0,24.0,4.0,15.0,4.0,0.0,0.0,0.0
Thane,P51700010395,THE ADDRESS BUILDING NO.5,STRAWBERRY CONSTRUCTIONS PVT. LTD.,401107,"('19.285519600000001','72.869296700000007')",On-Going Project,12/31/2020,12/30/2022,12/31/2028,Residential,1115.49,7272.91,9242.77,10/31/2023,5.0,,166.0,51.0,1.0,1.0,0.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0
Thane,P51700011909,Atmaram Sadan,Aditya Associates,400602,"('19.194935999999998','72.977217999999993')",On-Going Project,03/16/2018,03/31/2018,,Residential,428.92,0.0,664.8,07/16/2019,,,14.0,10.0,0.0,1.0,0.0,8.0,1.0,0.0,10.0,0.0,0.0,0.0
Thane,P51700005592,GAYATRI CLASSIC,TELE BUILD CONSTRUCTION PVT LTD,421302,"('19.262477000000001','73.030197000000001')",On-Going Project,03/31/2018,03/31/2020,03/31/2023,Residential,4130.0,874.0,6576.02,03/03/2023,,,123.0,121.0,0.0,1.0,0.0,11.0,1.0,18.0,29.0,0.0,0.0,0.0
Thane,P51700007104,Sunder Angan Phase II,SUNDER ANGAN DEVELOPERS,401107,"('19.292176000000001','72.870930000000001')",On-Going Project,05/31/2018,12/30/2021,12/30/2022,Residential,2501.49,547.5,2144.23,02/24/2022,4.0,,43.0,33.0,0.0,1.0,0.0,10.0,1.0,14.0,1.0,0.0,0.0,0.0
Thane,P51700010795,SHUBH AANGAN,SHUBH ENTERPRISES,421503,"('19.160761000000001','73.230093999999994')",On-Going Project,12/31/2019,12/31/2019,,Residential,6280.0,0.0,6033.97,01/20/2023,,,145.0,126.0,0.0,5.0,0.0,25.0,0.0,13.0,0.0,0.0,0.0,0.0
Thane,P51700009808,MARATHE EMPIRE,SAIJI BUILDERS,421605,"('19.297115999999999','73.219049999999996')",On-Going Project,03/31/2020,09/30/2020,03/30/2022,Residential,3388.14,0.0,2472.28,06/20/2023,,,111.0,111.0,0.0,1.0,0.0,20.0,8.0,0.0,15.0,0.0,0.0,0.0
Thane,P51700006557,Silver Spring,M/s. Shri Venkatesh Ramdev Homes,401101,"('19.295653999999999','72.868384000000006')",On-Going Project,12/31/2020,03/30/2022,12/31/2024,Residential,3780.0,489.4,9739.46,03/06/2023,,,132.0,43.0,1.0,2.0,0.0,40.0,2.0,52.0,2.0,0.0,0.0,0.0
Thane,P51700007107,ATLANTA RESIDENCY PHASE I,SRI BALAJI DEVELOPER,421302,"('19.272981999999999','73.046171999999999')",On-Going Project,08/31/2018,03/31/2018,03/31/2019,Residential,1041.0,156.0,9462.15,11/07/2020,,,144.0,119.0,0.0,2.0,0.0,39.0,36.0,0.0,36.0,0.0,0.0,0.0
Thane,P51700010252,KRUSHNAI,WELFARE CONSTRUCTION,421202,"('19.222073999999999','73.078895700000004')",On-Going Project,12/31/2018,04/01/2018,10/30/2020,Residential,1140.0,151.76,1138.43,07/06/2021,,,32.0,20.0,0.0,1.0,0.0,8.0,1.0,10.0,1.0,0.0,0.0,0.0
Thane,P51700011393,Vaishnavi Heights,Sanjay Shantaram Kankoshe,421301,"('19.262298999999999','73.134828999999996')",On-Going Project,12/31/2017,12/31/2017,10/30/2020,Residential,4300.0,406.5,4882.78,05/10/2022,,,130.0,73.0,0.0,3.0,0.0,23.0,4.0,0.0,4.0,0.0,0.0,0.0
Thane,P51700010168,SADASHIV PURAM,SATYABHAMA DEVELOPERS,421501,"('19.196465000000000','73.201188000000002')",On-Going Project,03/15/2018,03/15/2018,,Residential,4450.0,800.0,24556.0,01/02/2020,1.0,,28.0,24.0,0.0,1.0,0.0,8.0,1.0,0.0,12.0,0.0,0.0,0.0
Thane,P51700008440,MY CITY - PHASE II - CLUSTER 4,HORIZON PROJECTS PVT LTD,421201,"('19.185953000000001','73.075129000000004')",On-Going Project,12/31/2027,12/30/2028,,Residential,26284.72,3942.71,40313.99,10/04/2023,5.0,40.0,1131.0,1056.0,0.0,12.0,24.0,252.0,12.0,410.0,907.0,0.0,0.0,0.0
Thane,P51700006029,MAHALAXMI KRUPA,MAHALAXMI ENTERPRISES,421201,"('19.220424999999999','73.080901999999995')",On-Going Project,05/31/2019,05/31/2019,11/30/2020,Residential,2243.0,10.0,60000.0,08/07/2021,,,103.0,28.0,0.0,3.0,0.0,18.0,2.0,0.0,1.0,0.0,0.0,0.0
Thane,P51700008037,SIDDHAM HEIGHTS,BHOOPENDRA GHISULAL BORANA,401101,"('19.285519600000001','72.869296700000007')",On-Going Project,12/31/2021,12/30/2023,,Residential,4869.15,97.38,1135.45,12/14/2023,,,43.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0
Thane,P51700009938,Gautam Co-operative Housing Society,Mahesh Shriram Borkar,400602,"('19.196339012620598','72.966794052392520')",On-Going Project,07/31/2018,07/31/2018,,Residential,719.49,0.0,1162.9,10/23/2021,,,28.0,28.0,0.0,1.0,0.0,8.0,1.0,2.0,14.0,0.0,0.0,0.0
Thane,P51700004182,SAHAJEEVAN,Shree Khodiyar Builders and Developers,421501,,On-Going Project,05/30/2019,05/30/2019,11/30/2020,Residential,2856.73,285.67,5142.1,01/12/2023,,,133.0,133.0,0.0,1.0,0.0,8.0,1.0,50.0,27.0,0.0,0.0,0.0
Thane,P51700010970,SHUBHAM GALAXY,NAVKAR & ASSOCIATES,421201,"('19.203889334082945','73.088338732471470')",On-Going Project,05/31/2019,11/30/2020,,Residential,1601.22,0.0,1601.22,02/04/2020,,,38.0,18.0,0.0,1.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0
Thane,P51700009540,RAUNAK RESIDENCY,UNNATHI ESTATES,400606,"('19.214737000000000','72.963254000000000')",On-Going Project,12/31/2023,06/30/2024,,Residential,2421.41,0.0,14190.89,11/23/2023,3.0,,410.0,344.0,0.0,2.0,0.0,60.0,2.0,0.0,174.0,0.0,0.0,0.0
Thane,P51700010701,NEPTUNE TRIVENI SANGAM,NEPTUNE DEVELOPERS LIMITED,421102,"('19.281879000000000','73.182367999999997')",On-Going Project,07/31/2026,07/31/2027,,Residential,20200.0,1294.5,9794.08,07/31/2017,,,399.0,29.0,0.0,3.0,0.0,54.0,3.0,0.0,3.0,0.0,0.0,0.0
Thane,P51700003224,MAHALAXMI PARADISE,SHREE MAHALAXMI BUILDERS AND DEVELOPERS,421503,"('19.186150999999999','73.225980000000007')",On-Going Project,07/31/2019,07/31/2019,,Residential,3700.0,3700.0,5714.0,08/21/2021,,,140.0,63.0,0.0,6.0,0.0,32.0,4.0,129.0,5.0,0.0,0.0,0.0
Thane,P51700010130,AMBER ARCADE,MAITRI DEVELOPERS,421503,"('19.174495000000000','73.227554999999995')",On-Going Project,08/14/2018,12/31/2018,,Residential,650.0,0.0,616.19,05/02/2019,,,20.0,1.0,0.0,2.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
Thane,P51700010653,MARUTI VIHAR NX,AASHRAY DEVELOPERS,421301,"('19.235264000000001','73.142050999999995')",On-Going Project,12/31/2017,03/31/2018,,Residential,5171.5,766.29,2493.11,08/16/2017,4.0,3.0,60.0,51.0,0.0,2.0,0.0,16.0,2.0,0.0,11.0,0.0,0.0,0.0
Thane,P51700013100,ONE PARK AVENUE - AVENUE 6,MAN REALTY LIMITED,400607,"('19.245072000000000','72.976353000000003')",On-Going Project,12/31/2021,12/30/2023,12/31/2024,Residential,410.06,0.0,7827.33,10/05/2023,2.0,3.0,213.0,86.0,1.0,1.0,2.0,38.0,1.0,0.0,235.0,0.0,0.0,0.0
Thane,P51700009145,MAHADEVSHREE,M.M.CONSTRUCTION,401107,"('19.285519600000001','72.869296700000007')",On-Going Project,07/30/2019,01/31/2021,,Residential,3352.95,661.5,3352.95,12/13/2019,,,90.0,0.0,0.0,1.0,0.0,9.0,0.0,49.0,0.0,0.0,0.0,0.0
Thane,P51700005502,SHIV PARVATI RESIDENCY,SHRIKRISHNA DEVELOPERS,421501,"('19.200702300000000','73.188061800000000')",On-Going Project,03/31/2019,03/31/2019,,Residential,857.35,0.0,1735.75,11/11/2020,,,34.0,17.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0
Thane,P51700008430,"SHASHWAT PARK - PHASE I- BUILDING 2 WING C D,BUILDING 3 WING E F, BUILDING 4 WING G H",SHASHWAT HOMES,421503,"('19.178097999999999','73.239733999999999')",On-Going Project,03/31/2021,03/30/2022,,Residential,7780.0,1512.38,7436.38,02/26/2023,,,256.0,226.0,0.0,3.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
Thane,P51700012065,SAFFRON HILLS,ALPHA COMBINES,421503,"('19.155087999999999','73.227216999999996')",On-Going Project,12/31/2016,06/30/2019,12/29/2020,Residential,4150.0,1929.9,4688.37,08/08/2020,,,110.0,69.0,0.0,3.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
Thane,P51700012027,PATHAK RESIDENCY,SHREE MAHALAXMI CONSTRUCTIONS,421503,"('19.152063999999999','73.231223000000000')",On-Going Project,03/31/2018,03/31/2019,,Residential,1916.0,192.0,1916.09,09/04/2023,,,49.0,49.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Thane,P51700009495,Geetanjali,Honest Homes,421301,"('19.246770600000001','73.142336400000005')",On-Going Project,12/31/2019,12/31/2019,,Residential,1800.62,682.65,3026.28,08/13/2021,,,47.0,46.0,0.0,1.0,0.0,13.0,1.0,0.0,15.0,0.0,0.0,0.0
Thane,P51700007775,EMPRESS C WING,VENTURE BUILDERS,421605,"('19.299000100000001','73.223839100000006')",On-Going Project,03/31/2020,09/30/2020,,Residential,462.43,0.0,462.43,10/04/2018,,,13.0,6.0,0.0,1.0,0.0,8.0,3.0,0.0,3.0,0.0,0.0,0.0
Thane,P51700005880,VIRAJ TOWER,Shree Viraj Enterprises,400606,"('19.218255590000000','73.000000000000000')",On-Going Project,12/31/2020,12/30/2021,,Residential,3600.0,0.0,13220.47,12/11/2020,,,78.0,16.0,2.0,1.0,0.0,27.0,1.0,0.0,172.0,0.0,0.0,0.0
