district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Raigarh,P52000049677,YAMUNA,CHANNEL HOMES LLP,410201,,New Project,12/31/2026,,,Residential,2000.0,0.0,4476.56,12/16/2023,,,110.0,2.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
Raigarh,P52000050669,KUMKUM CORNER,KUM KUM ENTERPRISES,410101,,New Project,12/31/2025,,,Residential,870.0,0.0,1946.34,11/30/2023,,,46.0,0.0,0.0,1.0,0.0,7.0,1.0,42.0,6.0,0.0,0.0,0.0
Raigarh,P52000050696,SWAMI MAHIMA,Shree Samarth Developers,410101,"('21.897400300000000','19.034875000000000')",New Project,12/31/2024,,,Residential,589.0,98.56,1318.85,04/17/2023,,,31.0,0.0,0.0,1.0,0.0,5.0,1.0,15.0,1.0,0.0,0.0,0.0
Raigarh,P52000052296,LAXMI VILLA,SHREESUNDER DEVELOPERS,410206,"('18.973755207348315','73.028338544641600')",New Project,01/31/2027,,,Residential,199.98,0.0,209.39,12/20/2023,,,5.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0
Raigarh,P52000051224,MONTEVISTA,M.W.F BUILDERS AND DEVELOPERS,410101,,New Project,04/30/2025,,,Residential,1073.0,0.0,1287.48,06/07/2023,,,33.0,0.0,0.0,2.0,0.0,8.0,2.0,43.0,23.0,0.0,0.0,0.0
Raigarh,P52000052439,PHADKE HEIGHTS,SHAILESH PUNDALIK PATIL,402107,"('18.737968000000000','73.097460000000000')",New Project,12/31/2027,,,Residential,312.45,0.0,956.0,08/16/2023,,,15.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,1.0,0.0,0.0,0.0
Raigarh,P52000049542,Shiv Aura,Jagruti Jagannath Koli,410206,,New Project,03/31/2026,,,Residential,299.24,0.0,714.71,11/29/2023,,,23.0,4.0,0.0,1.0,0.0,6.0,1.0,5.0,4.0,0.0,0.0,0.0
Raigarh,P52000049802,HARI OM RESIDENCY,APARNA A BHOSALE,402302,,New Project,12/31/2026,,,Residential,440.0,0.0,616.14,07/14/2023,,,20.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000049835,VITTHALRUKHMANIAPARTMENT,NORTH POINT HOME,402109,,New Project,03/24/2025,,,Residential,285.9,0.0,668.28,02/27/2023,,,18.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0
Raigarh,P52000050704,Kalpataru Aria - Phase B,Arena Orchards Private Limited,410201,"('18.892096271770257','73.310844356921400')",New Project,03/31/2026,,,Residential,3101.43,0.0,1916.41,11/03/2023,,,17.0,6.0,0.0,18.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
Raigarh,P52000050705,JIJAI TULSI,SHUBHAM REALTY,410208,,New Project,12/31/2028,,,Residential,6340.0,736.0,16230.0,10/04/2023,,,266.0,0.0,0.0,2.0,2.0,36.0,2.0,493.0,2.0,0.0,0.0,0.0
Raigarh,P52000050464,Krushna Riverside,Shree Krushna Enterprises,410202,,New Project,02/01/2026,,,Residential,3190.0,296.28,2982.59,12/12/2023,,,78.0,5.0,0.0,2.0,0.0,13.0,2.0,0.0,62.0,0.0,0.0,0.0
Raigarh,P52000050775,SHREEJI GLACIA,SHIVPARVATI INFRA PRIVATE LIMITED,410206,,New Project,09/30/2025,,,Residential,599.72,0.0,1329.6,04/25/2023,1.0,,22.0,0.0,0.0,1.0,0.0,5.0,1.0,6.0,20.0,0.0,0.0,0.0
Raigarh,P52000050588,Excellensea Villas Project,UNICORP REALTY PRIVATE LIMITED,402201,,New Project,12/30/2024,,,Residential,4395.0,0.0,6449.16,11/14/2023,,,7.0,0.0,7.0,7.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
